id,edition,school_year,name,school,stage,subject,stage_norm,subject_cat,sector,verification_source,audit_note
1,1,2014/2015,王世澤,濠江中學,小學,小學數學,小學,數學,私立,官方特刊特寫: 六年級輔差及小學數學科組長,更正前誤植為中學物理。特刊確認任教六年級數學及科組長。
2,1,2014/2015,王宏,鏡平學校,中學,視覺藝術/美術,中學,藝術(視藝/音樂/舞蹈),私立,官方特刊特寫: 美術教育學院畢業，站講台20年藝術美育,更正前誤植為中學數學。特刊確認為美術教育與視覺藝術教師。
3,1,2014/2015,王志強,濠江中學,中學,資訊科技/電腦,中學,資訊科技/STEAM,私立,官方特刊特寫: 電子教學、跨學科電腦科合作,更正前誤植為體育。特刊確認為電腦科組/資訊科技教學。
4,1,2014/2015,朱麗莎,澳門浸信中學,中小學,融合教育/特教輔導,特教/融合,融合特教/輔導,私立,官方特刊特寫: 牧養與融合教育，特教融合支援,更正前誤植為中文。特刊確認為融合教育主管與特教輔導。
5,1,2014/2015,林啟興,鏡平學校,中學,自然科學/科技創新,中學,生物/科學,私立,官方特刊特寫: 理化生教研與青少年科技創新,中學自然科學與青少年科技創新輔導。
6,1,2014/2015,胡俊明,培正中學,中學,中學數學,中學,數學,私立,官方特刊特寫: 微積分、直線方程斜率幾何教學,更正前誤植為地理。特刊確認任教微積分與高中數學。
7,1,2014/2015,夏麗珠,澳門浸信中學,初中,初中德育/生命教育/班級經營,中學,品德/公民/生涯,私立,官方特刊特寫: 初中生命教育、德育心靈陪伴,更正前誤植為視覺藝術。特刊確認為初中德育與班級經營。
8,1,2014/2015,梁劍楓,聖公會(澳門)蔡高中學,中學,視覺藝術/陶藝雕塑,中學,藝術(視藝/音樂/舞蹈),私立,官方特刊特寫: 畫室、陶藝、雕塑美育教育,更正前誤植為常識/歷史。特刊確認為視覺藝術與陶藝工坊教師。
9,1,2014/2015,馮燕嫻,培正中學,小學,小學數學/創思數學,小學,數學,私立,官方特刊特寫: 小學創思數學課程設計與教研,小學數學與創思教研主管。
10,1,2014/2015,董淑珍,勞校中學,高中,中學數學/高考奧數,中學,數學,私立,官方特刊特寫: 奧數競賽班、高考畢業班數學輔導,更正前誤植為幼兒語文。特刊確認為高中數學、高考班及奧數教練。
11,1,2014/2015,劉冠華,培正中學,中學,中學物理/機器人科普,中學,物理,私立,官方特刊特寫: 物理教學、水底機器人科研指導,中學物理教研及機器人科普團隊指導。
12,1,2014/2015,練渝萍,鏡平學校,幼稚園,幼兒教育,幼稚園,幼兒綜合,私立,官方特刊特寫: 幼教二年級級組長，幼兒常規與美育,更正前誤植為小學英語。特刊確認為幼稚園二年級組長。
13,1,2014/2015,盧照勇,教業中學,中學,中學體育,中學,體育,私立,官方特刊特寫: 運動場技能、體育鍛鍊與身心健康,更正前誤植為中文。特刊確認為體育教師。
14,1,2014/2015,譚玉明,濠江中學,中學,書法/中華傳統文化,中學,藝術(視藝/音樂/舞蹈),私立,官方特刊特寫: 中華書法教育、校園碑帖文化傳承,更正前誤植為歷史。特刊確認為書法教育與傳統文化專科教師。
15,1,2014/2015,Nausheen Gull,聖公會中學(澳門),小學,英語與科學 (小學主管),小學,英語,私立,"官方特刊特寫: Head of Primary, Science & English",國際部小學學術主管，任教英語與自然科學。
16,2,2015/2016,王文波,聖公會(澳門)蔡高中學,高中,高中數學 / 童軍團長,中學,數學,私立,官方特刊特寫: 主要任教高中數學和負責童軍活動,更正前誤植為物理/IT。特刊確認任教高中數學。
17,2,2015/2016,杜川崎,培正中學,中學,中學體育 / 排球教練,中學,體育,私立,官方特刊特寫: 國際排聯一級教練證書，排球隊總教練,更正前誤植為中文/教務。特刊確認為體育教師及學界排球教練。
18,2,2015/2016,林金塔,培華中學,中學,中學體育 / 田徑總教練,中學,體育,私立,官方特刊特寫: 田徑總教練，指導獲男子A組團體總冠軍,更正前誤植為數學。特刊確認為體育科骨幹及田徑主教練。
19,2,2015/2016,馬加力,商訓夜中學,中學(夜間),數學,回歸教育,數學,私立,官方特刊/公報審核,經官方特刊比對確認
20,2,2015/2016,高麗霞,濠江中學附屬幼稚園,幼稚園,幼兒教育,幼稚園,幼兒綜合,私立,官方特刊/公報審核,經官方特刊比對確認
21,2,2015/2016,康玉專,濠江中學,高中,高中化學 / 奧林匹克競賽,中學,化學,私立,官方特刊特寫: 化學奧賽金牌教練，高三化學教研,更正前誤植為地理。特刊確認為高中化學名師及奧賽指導。
22,2,2015/2016,梁振華,鏡平學校,中學,中學化學 (理化生科組長),中學,化學,私立,官方特刊特寫: 理化生科組長，化學奧賽與高考教研,更正前誤植為生物。特刊確認為中學化學科及科組長。
23,2,2015/2016,梁梅燕,明愛學校,特殊教育,特殊教育,中學,綜合/其他,私立,官方特刊/公報審核,經官方特刊比對確認
24,2,2015/2016,郭振業,培正中學,中學,生物/科技教育,中學,物理,私立,官方特刊/公報審核,經官方特刊比對確認
25,2,2015/2016,陳玉潔,鏡平學校,中學,中學中文 / 閱讀與朗誦,中學,語文/中文,私立,官方特刊特寫: 鏡平學校中學部語文教研組，朗誦指導,更正前誤植為小學中文。特刊確認為中學部中文教師。
26,2,2015/2016,陳碧玲,培華中學,中學,中文,中學,語文/中文,私立,官方特刊/公報審核,經官方特刊比對確認
27,2,2015/2016,陳麗永,濠江中學附屬英才學校,小學,小學中文 / 普通話朗誦,小學,語文/中文,私立,官方特刊特寫: 小學中文校本教材、普通話朗誦與閱讀,更正前誤植為小學數學。特刊確認為小學中文教師。
28,2,2015/2016,謝桂英,聖若瑟教區中學第五校,中小學,中小學社會 / 生命教育 / 宗教,中學,品德/公民/生涯,私立,官方特刊特寫: 社會科及宗教教育教研，生命關懷,更正前誤植為中學英文。特刊確認為社會科及生命教育教師。
29,2,2015/2016,譚福帶,聖公會(澳門)蔡高中學,小學,小學部教育 / 班級經營與品德,小學,小學全科/班主任,私立,官方特刊特寫: 小學部班主任，品德身教，陪伴成長,更正前誤植為中學化學。特刊確認為小學部資深班主任。
30,2,2015/2016,譚鴻焜,培正中學,中學,中學數學 / 奧數教練,中學,數學,私立,官方特刊特寫: 國際數學奧賽(IMO)金牌教練,更正前誤植為物理/科普。特刊確認為中學數學及頂尖奧數教練。
31,3,2016/2017,呂綺穎,濠江中學,中學,歷史/公民/德育,中學,歷史,私立,官方特刊/公報審核,經官方特刊比對確認
32,3,2016/2017,李俊,培正中學,中學,中學歷史,中學,歷史,私立,官方特刊特寫: 較喜歡歷史...成為一名歷史教師,更正前誤植為數學。特刊確認為歷史教師。
33,3,2016/2017,杜麗儀,勞校中學,中學,中學體育,中學,體育,私立,官方特刊特寫: 體育知識和人生道理，通過運動陪伴成長,更正前誤植為生物。特刊確認為體育教師。
34,3,2016/2017,周家欣,東南學校,中小學,英文/雙語,小學,語文/中文,私立,官方特刊/公報審核,經官方特刊比對確認
35,3,2016/2017,范美華,培正中學,中學,中學英語,中學,英語,私立,官方特刊特寫: 身為英語教師，我會了解學生的強弱處,更正前誤植為視覺藝術。特刊確認為英語教師。
36,3,2016/2017,韋喻蘭,聖公會(澳門)蔡高中學,中學,英文,中學,英語,私立,官方特刊/公報審核,經官方特刊比對確認
37,3,2016/2017,梁永輝,聖公會(澳門)蔡高中學,中學,宗教及公民教育 / 品格教育,中學,品德/公民/生涯,私立,官方特刊特寫: 蔡高中學宗教及公民教育教研，品格形塑,更正前誤植為數學。特刊確認為宗教及公民教育科。
38,3,2016/2017,陳少陽,教業中學,高中,高中數學 / 年級組長,中學,數學,私立,官方特刊特寫: 在這九年中，本人擔任高中數學教師,更正前誤植為歷史/德育。特刊確認為高中數學教師。
39,3,2016/2017,陳嘉麟,鏡平學校,中學,中學英語,中學,英語,私立,官方特刊特寫: 最初決心當上一名英語教師,更正前誤植為歷史/地理。特刊確認為英語教師。
